Attack_Type,Attack_Name,Strategy,Strategy_Name,Final_Accuracy,Final_AUC,Worst_Hospital_AUC,Equity_Gap
clean,None (Clean),fedavg,FedAvg (Standard),0.8117,0.8503,0.785,0.0712
clean,None (Clean),trimmed_mean,Trimmed Mean (beta=0.17),0.8137,0.8509,0.7842,0.0729
clean,None (Clean),median,Coordinate Median,0.8117,0.8518,0.7864,0.0716
clean,None (Clean),krum,"Multi-Krum (m=3, f=1)",0.8,0.8493,0.7826,0.072
label_flip,Label-Flipping (Hosp 4),fedavg,FedAvg (Standard),0.8046,0.852,0.7839,0.074
label_flip,Label-Flipping (Hosp 4),trimmed_mean,Trimmed Mean (beta=0.17),0.8025,0.8486,0.7822,0.0823
label_flip,Label-Flipping (Hosp 4),median,Coordinate Median,0.7979,0.8491,0.7856,0.0706
label_flip,Label-Flipping (Hosp 4),krum,"Multi-Krum (m=3, f=1)",0.7987,0.8498,0.7814,0.0723
model_poison,"Model Poisoning (Hosp 4, Sign-Flip)",fedavg,FedAvg (Standard),0.75,0.8372,0.7785,0.0785
model_poison,"Model Poisoning (Hosp 4, Sign-Flip)",trimmed_mean,Trimmed Mean (beta=0.17),0.7942,0.8508,0.782,0.0755
model_poison,"Model Poisoning (Hosp 4, Sign-Flip)",median,Coordinate Median,0.7883,0.8478,0.7892,0.0683
model_poison,"Model Poisoning (Hosp 4, Sign-Flip)",krum,"Multi-Krum (m=3, f=1)",0.7729,0.8497,0.79,0.0682
