round,strategy,attack,server_loss,server_accuracy,server_auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap
1,fedavg,none,0.444,0.8004,0.8408,0.7762,0.8581,0.082
2,fedavg,none,0.4281,0.8008,0.8441,0.7828,0.8585,0.0757
3,fedavg,none,0.4261,0.8013,0.8452,0.782,0.8604,0.0784
4,fedavg,none,0.4252,0.7992,0.8457,0.7827,0.8584,0.0758
5,fedavg,none,0.4238,0.8008,0.8463,0.7821,0.8596,0.0775
6,fedavg,none,0.4237,0.8004,0.8463,0.7817,0.8594,0.0778
7,fedavg,none,0.4236,0.8033,0.8464,0.7813,0.8602,0.079
8,fedavg,none,0.4232,0.8013,0.8466,0.7808,0.8602,0.0794
9,fedavg,none,0.4231,0.8025,0.8462,0.7809,0.8607,0.0798
10,fedavg,none,0.4227,0.8017,0.8465,0.7823,0.8588,0.0765
11,fedavg,none,0.4234,0.8004,0.846,0.7815,0.8592,0.0777
12,fedavg,none,0.423,0.8017,0.8461,0.781,0.8594,0.0784
1,trimmed_mean,none,0.4339,0.8058,0.8427,0.7774,0.8619,0.0845
2,trimmed_mean,none,0.4239,0.8083,0.8466,0.7834,0.8609,0.0775
3,trimmed_mean,none,0.423,0.8096,0.8468,0.7849,0.8601,0.0752
4,trimmed_mean,none,0.4224,0.8113,0.8476,0.7848,0.861,0.0762
5,trimmed_mean,none,0.4218,0.8113,0.8477,0.7849,0.8617,0.0768
6,trimmed_mean,none,0.4215,0.8087,0.848,0.7847,0.8617,0.077
7,trimmed_mean,none,0.4212,0.8104,0.8479,0.7837,0.8605,0.0768
8,trimmed_mean,none,0.4219,0.8087,0.8479,0.7845,0.8599,0.0754
9,trimmed_mean,none,0.4218,0.8096,0.848,0.7842,0.8601,0.0758
10,trimmed_mean,none,0.4214,0.8096,0.848,0.7843,0.8597,0.0753
11,trimmed_mean,none,0.421,0.81,0.848,0.7842,0.8597,0.0755
12,trimmed_mean,none,0.4213,0.8108,0.8479,0.7834,0.8603,0.077
1,median,none,0.4399,0.7987,0.8406,0.7751,0.8636,0.0885
2,median,none,0.4295,0.7987,0.8453,0.7851,0.8608,0.0756
3,median,none,0.4249,0.7992,0.8461,0.7864,0.8615,0.075
4,median,none,0.4252,0.8013,0.8469,0.787,0.8599,0.0728
5,median,none,0.4235,0.7992,0.8471,0.7864,0.8605,0.074
6,median,none,0.4229,0.8,0.8474,0.7861,0.8608,0.0747
7,median,none,0.4233,0.8004,0.8476,0.7856,0.8611,0.0755
8,median,none,0.4223,0.8004,0.8475,0.7844,0.861,0.0766
9,median,none,0.4236,0.8004,0.8472,0.7838,0.8601,0.0763
10,median,none,0.4225,0.8033,0.8475,0.7839,0.8597,0.0758
11,median,none,0.4223,0.8013,0.8475,0.784,0.859,0.075
12,median,none,0.4225,0.8,0.8474,0.7838,0.8592,0.0755
1,krum,none,0.4318,0.8,0.8483,0.7855,0.8607,0.0752
2,krum,none,0.4294,0.8008,0.8482,0.7907,0.8558,0.0652
3,krum,none,0.4266,0.8033,0.8475,0.7903,0.8546,0.0643
