round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.5424,0.7788,0.8181,0.7573,0.8284,0.071,0.8283966068696982,0.8182069346594834,0.7697633701188455,0.8054045836342214,0.8059082338152106,0.7573478393605506
2,0.4427,0.7983,0.8365,0.7764,0.8508,0.0745,0.8508204700319844,0.8321591380024864,0.7810643039049237,0.8332256470677664,0.8210433689503456,0.7763592462046571
3,0.4954,0.8004,0.8423,0.7816,0.8579,0.0762,0.8578779029342234,0.8264953722889902,0.7878024193548387,0.8448177568317434,0.8235072281583911,0.7816324831395187
4,0.5436,0.8029,0.8455,0.785,0.8596,0.0745,0.8595814212209707,0.82027904406686,0.7897124363327674,0.8527992094561211,0.8222752985543682,0.7850462102078765
5,0.5266,0.8017,0.8467,0.7873,0.8595,0.0722,0.8594771241830066,0.8128194502003039,0.7902960526315789,0.8568279426855689,0.8200125707102452,0.7873220282534484
6,0.4739,0.8025,0.8473,0.7885,0.8618,0.0733,0.8594075928243639,0.8027351844177373,0.7889165959252972,0.8618068488464902,0.8166184789440603,0.7884599372762343
7,0.4393,0.7917,0.8465,0.7858,0.8654,0.0796,0.8561396189681547,0.7909932311092692,0.785812818336163,0.8654175059860895,0.8113890634820867,0.7886542144264662
8,0.447,0.7946,0.845,0.7831,0.8652,0.0821,0.8521415658461966,0.7875397154303081,0.7831334889643464,0.8652274713997948,0.8080452545568825,0.7857400571729899
9,0.4739,0.7958,0.8429,0.7781,0.8621,0.084,0.849847031010986,0.7977621218400331,0.7837171052631577,0.8621109041845616,0.810056568196103,0.7780799866781383
10,0.4718,0.7917,0.84,0.7716,0.8546,0.083,0.8483521068001668,0.8101947782842934,0.7822845925297114,0.8545855345672914,0.813752357008171,0.7715855790846771
11,0.4415,0.7937,0.8406,0.771,0.8514,0.0804,0.8514462522597691,0.8187594971681171,0.7832396010186758,0.8482003724677891,0.8174732872407292,0.7710027476339818
12,0.4248,0.7996,0.8423,0.7733,0.8541,0.0808,0.8540884438881935,0.8220748722199198,0.78589240237691,0.8462620196875831,0.8185040854808296,0.7733063195581582
13,0.4322,0.7987,0.8435,0.7758,0.8575,0.0817,0.8574607147823669,0.8240088410001382,0.7870331069609506,0.8480863517160123,0.8171464487743557,0.7757764147539619
14,0.4407,0.8042,0.8447,0.7779,0.8599,0.082,0.859894312334863,0.824285122254455,0.7871657470288624,0.850898863593174,0.8146323067253299,0.7779412172851156
15,0.4365,0.8025,0.8456,0.7798,0.8609,0.0812,0.8609372827145042,0.8238707003729797,0.7888635398981323,0.8517730226901296,0.8144814582023885,0.779772973273015
