round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.4456,0.7921,0.8379,0.7682,0.8515,0.0833,0.8514810179390906,0.8349219505456554,0.779154286926995,0.841853217285546,0.8140289126335638,0.7682273597735283
2,0.4301,0.8037,0.8428,0.775,0.8511,0.0761,0.851063829787234,0.8300870285951097,0.7868739388794567,0.8468321234464673,0.818428661219359,0.7749715522744303
3,0.4274,0.8033,0.8442,0.7775,0.8528,0.0753,0.8528368794326241,0.8267716535433071,0.7875106112054329,0.8496446353236289,0.8191577624135764,0.7775249091060474
4,0.4252,0.8063,0.8453,0.7792,0.8528,0.0736,0.8527673480739814,0.8264953722889902,0.7888370118845501,0.8507088290068793,0.82049025769956,0.7791901418223197
5,0.4237,0.8042,0.8459,0.7798,0.8541,0.0743,0.8540884438881935,0.8249758253902473,0.7891288200339559,0.8519630572764244,0.8198365807668133,0.7798007271516194
6,0.423,0.8037,0.8467,0.78,0.8553,0.0753,0.8553400083437631,0.8238707003729796,0.7895002122241087,0.8535593478012999,0.8198114393463232,0.7799950043018511
7,0.4224,0.8042,0.8469,0.7802,0.8574,0.0772,0.8574259491030455,0.8216604503384445,0.7891818760611206,0.8534073201322641,0.8194343180389693,0.7802170353306874
8,0.4221,0.8037,0.8473,0.7804,0.8578,0.0774,0.8578083715755805,0.8204171846940186,0.7889696519524617,0.8545855345672911,0.8198365807668133,0.7804113124809192
9,0.4223,0.8008,0.8469,0.7804,0.8576,0.0772,0.8575997774996523,0.8204171846940185,0.7891553480475382,0.8535593478012999,0.8195851665619107,0.7804390663595238
10,0.4222,0.8004,0.8473,0.7798,0.8584,0.0786,0.8583993881240439,0.8198646221853847,0.7893941001697793,0.8544715138155144,0.8193086109365177,0.7798007271516194
11,0.422,0.8042,0.8476,0.7801,0.8591,0.079,0.8591294673897928,0.8193120596767509,0.7896328522920204,0.854737562236327,0.8187806411062224,0.7801337736948738
12,0.4222,0.8058,0.8472,0.7797,0.8597,0.08,0.8596857182589347,0.8211078878298108,0.7890757640067911,0.8544715138155146,0.8185040854808295,0.7796619577585969
13,0.4217,0.7996,0.8471,0.7796,0.859,0.0793,0.8589556389931859,0.8184832159138002,0.7896593803056027,0.8545095207327734,0.818730358265242,0.7796064500013877
14,0.4216,0.8021,0.8472,0.7793,0.8592,0.0799,0.8592337644277569,0.8186213565409587,0.7892349320882852,0.8544335068982554,0.8180263984915148,0.7793289112153423
15,0.4224,0.805,0.8471,0.78,0.8584,0.0785,0.8584341538033654,0.8204171846940185,0.7895532682512734,0.8548135760708448,0.8184286612193589,0.7799672504232468
