round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.5767,0.7925,0.8397,0.7761,0.8603,0.0842,0.8603462661660408,0.8151678408619976,0.7804011035653651,0.8434115008931625,0.8184538026398491,0.7761372151758209
2,0.5519,0.7887,0.8428,0.7807,0.861,0.0803,0.8610415797524684,0.8161348252521067,0.7816213921901527,0.8491885523165216,0.8211187932118164,0.7807166051455692
3,0.5496,0.79,0.8438,0.7815,0.8618,0.0803,0.8617716590182173,0.8188976377952756,0.7828151528013583,0.8498346699099236,0.8217976115650534,0.7814659598678915
4,0.5452,0.7921,0.8445,0.7815,0.8631,0.0815,0.8630927548324294,0.8124050283188285,0.7824702886247877,0.8521530918627189,0.8195097423004399,0.7815492215037051
5,0.5433,0.7925,0.8451,0.7814,0.8621,0.0807,0.8620845501321096,0.8130957314546208,0.7814091680814941,0.8536353616358177,0.8185040854808296,0.7829924231911409
6,0.5418,0.7958,0.8453,0.7823,0.8611,0.0788,0.8611111111111112,0.8129575908274623,0.7822845925297114,0.8552696590779522,0.8198114393463232,0.7828536537981183
7,0.5389,0.7971,0.8449,0.7802,0.8635,0.0833,0.863509942984286,0.8157204033706313,0.7804541595925297,0.8551176314089164,0.8179258328095538,0.7801615275734783
8,0.539,0.7979,0.8448,0.7804,0.8622,0.0818,0.8622236128493951,0.8162729658792651,0.7804011035653651,0.8555357074987647,0.8175235700817096,0.7814659598678915
9,0.539,0.7983,0.8449,0.7804,0.862,0.0816,0.8619802530941455,0.8188976377952756,0.7804276315789472,0.8562578389266847,0.8175235700817096,0.7809941439316146
10,0.5382,0.8013,0.8454,0.7801,0.8616,0.0816,0.8616325963009317,0.8151678408619976,0.7800562393887945,0.8576640948652655,0.8185292269013198,0.7808276206599873
11,0.537,0.8,0.8456,0.7776,0.8634,0.0857,0.8633708802670005,0.8154441221163143,0.7776421901528014,0.8580441640378549,0.8170207416719045,0.7783852793427881
12,0.5375,0.7963,0.8449,0.7767,0.8628,0.0861,0.8628146293978585,0.8187594971681171,0.7786502546689303,0.8580441640378549,0.8163922061596481,0.7766922927479116
13,0.536,0.7983,0.8442,0.7759,0.8624,0.0865,0.8623626755666806,0.8208316065754938,0.7797113752122242,0.85606780434039,0.816115650534255,0.77588743026838
14,0.5335,0.8004,0.8447,0.7767,0.861,0.0843,0.8610415797524684,0.8168255283878989,0.7805602716468591,0.8567139219337919,0.8167944688874922,0.7767200466265161
15,0.5304,0.8004,0.8451,0.7783,0.8613,0.083,0.8613197051870394,0.8173780908965327,0.7803745755517827,0.8576640948652654,0.8179006913890635,0.778329771585579
