round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.4465,0.7942,0.8348,0.7668,0.8446,0.0777,0.844562647754137,0.817792512778008,0.7668452886247878,0.8443236669073771,0.8185040854808296,0.7799950043018512
2,0.432,0.7933,0.8419,0.7781,0.8535,0.0753,0.8482825754415241,0.8126813095731455,0.778146222410866,0.853483333966782,0.8200125707102452,0.7834642391274179
3,0.4286,0.7987,0.8439,0.7797,0.8552,0.0755,0.8522110972048395,0.8179306534051664,0.7797113752122241,0.8552316521606933,0.81852922690132,0.7844356248785767
4,0.4271,0.7967,0.8449,0.7829,0.8556,0.0727,0.8529064107912668,0.8158585439977897,0.7829212648556877,0.8555737144160237,0.819409176618479,0.7847686714218313
5,0.4258,0.7967,0.8458,0.7844,0.8568,0.0724,0.854783757474621,0.8182069346594834,0.7851761460101868,0.8567899357683099,0.8198868636077938,0.7844356248785768
6,0.4247,0.8004,0.8461,0.784,0.8568,0.0727,0.8548185231539424,0.8200027628125433,0.7843272495755518,0.8567519288510509,0.8191074795725959,0.7840193166995088
7,0.4244,0.7975,0.8463,0.7843,0.8565,0.0722,0.8554443053817271,0.821798590965603,0.7846190577249574,0.8565238873474973,0.8192331866750473,0.7843246093641586
8,0.4237,0.7971,0.8465,0.784,0.8564,0.0724,0.856174384647476,0.8233181378643459,0.7849639219015281,0.8564098665957205,0.8201131363922063,0.7839915628209041
9,0.4229,0.7979,0.8468,0.784,0.8569,0.0729,0.856904463913225,0.823041856610029,0.7861576825127335,0.8561438181749079,0.8199371464487744,0.7840470705781132
10,0.4223,0.7987,0.8471,0.7846,0.8572,0.0726,0.8561396189681546,0.8215223097112861,0.7873779711375212,0.8572080118581583,0.8203645505971087,0.7846299020288084
11,0.4219,0.8004,0.8473,0.7844,0.8568,0.0724,0.8563829787234043,0.8226274347285537,0.786131154499151,0.8568279426855688,0.8207165304839723,0.7844356248785767
12,0.4223,0.7996,0.8471,0.7845,0.8564,0.0719,0.8562091503267973,0.8206934659483354,0.7863433786078098,0.8564098665957204,0.8209679446888749,0.784546640392995
13,0.4217,0.7983,0.8473,0.7845,0.8568,0.0723,0.8558267278542622,0.8188976377952756,0.7869269949066214,0.8568279426855688,0.821169076052797,0.7845466403929948
14,0.422,0.7983,0.8473,0.784,0.8563,0.0723,0.8555138367403698,0.8172399502693742,0.7870596349745331,0.8563338527612026,0.8210936517913262,0.7840193166995089
15,0.4219,0.8021,0.8474,0.7844,0.8558,0.0714,0.8555486024196913,0.8184832159138002,0.7873249151103565,0.8558397628368363,0.8208422375864236,0.7844356248785767
