round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.6772,0.6904,0.3295,0.2619,0.4257,0.1638,0.2618550966485885,0.28249758253902474,0.4002016129032258,0.3645623503477633,0.37634192331866756,0.42568899003635763
2,0.4613,0.7917,0.8395,0.7839,0.853,0.0691,0.8520372688082326,0.8143389970990468,0.7867943548387097,0.8530272509596748,0.8160150848522942,0.7839083011850906
3,0.4335,0.7942,0.8433,0.7837,0.8565,0.0727,0.856452510082047,0.8176543721508496,0.7882533955857386,0.8536733685530767,0.8185795097423004,0.7837140240348589
4,0.4275,0.7983,0.8452,0.7838,0.8574,0.0736,0.8573911834237241,0.8153059814891559,0.7890227079796265,0.854813576070845,0.8180263984915148,0.7838250395492771
5,0.4256,0.7979,0.8457,0.7837,0.8587,0.075,0.8587122792379364,0.8173780908965326,0.7884390916808149,0.856029797423131,0.8174732872407291,0.7836862701562544
6,0.425,0.7963,0.8459,0.7834,0.8584,0.075,0.8583993881240439,0.8187594971681171,0.7892084040747028,0.8568659496028277,0.8171464487743558,0.783353223613
7,0.4245,0.7971,0.846,0.7827,0.8591,0.0764,0.85905993603115,0.8188976377952756,0.7895532682512734,0.8565238873474972,0.816291640477687,0.7826593766478864
8,0.4242,0.7971,0.8463,0.7836,0.8588,0.0752,0.8587818105965791,0.819035778422434,0.7895532682512734,0.8575120671962297,0.8164927718416091,0.7836030085204407
9,0.4246,0.7967,0.8459,0.7826,0.8582,0.0756,0.8581560283687943,0.8211078878298108,0.7897920203735144,0.8561818250921667,0.8165430546825896,0.7826038688906775
10,0.4241,0.7979,0.846,0.7832,0.8578,0.0747,0.8578431372549019,0.8194502003039095,0.7899511884550084,0.8572080118581581,0.8171967316153363,0.7831589464627682
11,0.4242,0.7992,0.846,0.783,0.8575,0.0745,0.8575302461410096,0.8194502003039094,0.7900042444821731,0.8565238873474972,0.8169453174104337,0.7830201770697456
12,0.4241,0.7983,0.846,0.7838,0.8581,0.0742,0.8580517313308301,0.821798590965603,0.7897654923599321,0.8575500741134886,0.8163922061596479,0.7838250395492772
13,0.424,0.7983,0.8461,0.7844,0.8577,0.0734,0.8577388402169379,0.8200027628125433,0.7893941001697793,0.8576260879480065,0.8166184789440604,0.7843801171213677
14,0.4244,0.7979,0.8461,0.7839,0.8579,0.074,0.857947434292866,0.8193120596767509,0.7895002122241087,0.8570179772718635,0.8168950345694532,0.7839083011850906
15,0.4245,0.8017,0.8461,0.784,0.8578,0.0737,0.8577736058962592,0.8205553253211769,0.7893941001697793,0.857284025692676,0.816492771841609,0.7840470705781133
