round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.4473,0.7875,0.8375,0.7747,0.8546,0.0799,0.8545751633986928,0.8057742782152231,0.7747241086587437,0.8294249553418722,0.8122690131992457,0.7804390663595236
2,0.4279,0.8054,0.8449,0.7865,0.8583,0.0717,0.8582603254067585,0.8097803564028181,0.7865290747028864,0.8430694386378321,0.8169956002514142,0.7872942743748439
3,0.4249,0.8054,0.8466,0.7878,0.8596,0.0718,0.8595814212209706,0.8121287470645117,0.7879615874363328,0.847022158032762,0.8179006913890634,0.7878215980683301
4,0.4221,0.8071,0.8478,0.7892,0.86,0.0708,0.8600333750521485,0.8153059814891559,0.7900307724957554,0.8499486906617005,0.8179006913890635,0.7892092919985568
5,0.4213,0.8067,0.8481,0.7889,0.8594,0.0706,0.8594423585036851,0.8142008564718883,0.7906409168081494,0.8510508912622097,0.8184789440603395,0.7888762454553023
6,0.4212,0.8067,0.8485,0.7888,0.8592,0.0704,0.859233764427757,0.8132338720817793,0.7895002122241086,0.8528372163733798,0.8182023884349465,0.7887929838194888
7,0.4208,0.8067,0.8485,0.7883,0.8598,0.0714,0.8597552496175774,0.8126813095731454,0.7893941001697793,0.8530652578769337,0.818051539912005,0.7883489217618163
8,0.4209,0.805,0.8488,0.7883,0.8602,0.0719,0.8601724377694341,0.8130957314546207,0.7883860356536503,0.8542434723119607,0.8176995600251414,0.7882656601260025
9,0.4211,0.8046,0.8483,0.7867,0.8603,0.0736,0.8603462661660409,0.8130957314546208,0.7887574278438031,0.8542814792292198,0.817347580138278,0.7867391968027532
10,0.4205,0.8046,0.8482,0.7861,0.8599,0.0737,0.8598595466555417,0.8122668876916701,0.7889165959252972,0.8544715138155144,0.8175235700817096,0.7861286114734535
11,0.4208,0.805,0.8485,0.7866,0.8607,0.0741,0.860728688638576,0.8114380439287194,0.7885717317487265,0.856105811257649,0.8171464487743558,0.786628181288335
12,0.4212,0.8054,0.8481,0.786,0.8598,0.0739,0.8598247809762203,0.8108854814200857,0.7875901952461799,0.8554216867469879,0.8174230043997486,0.7859620882018262
13,0.4198,0.805,0.8483,0.7864,0.8599,0.0735,0.8599290780141845,0.8110236220472441,0.7879615874363326,0.8558777697540952,0.817850408548083,0.7864339041381032
14,0.4203,0.8071,0.8478,0.7849,0.8599,0.075,0.8598943123348629,0.8117143251830363,0.7877228353140917,0.8553456729124701,0.8182778126964174,0.7849074408148539
15,0.4217,0.8042,0.8476,0.7855,0.8588,0.0732,0.8587818105965791,0.8133720127089377,0.7887308998302208,0.854091444642925,0.8185795097423004,0.7855457800227582
