round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.5718,0.7896,0.8136,0.7358,0.837,0.1012,0.8370184953413989,0.8173780908965328,0.7357809847198642,0.7963969442438524,0.7700314267756129,0.7451083788959506
2,0.4376,0.7958,0.8363,0.7695,0.8541,0.0846,0.8540536782088722,0.813786434590413,0.7699225382003396,0.8349359583444187,0.8100565681961029,0.7694762843107326
3,0.4805,0.7925,0.8416,0.7784,0.8547,0.0763,0.8546794604366569,0.8101947782842934,0.7850965619694398,0.8448177568317434,0.8191829038340666,0.7784130332213928
4,0.5573,0.7937,0.8442,0.7827,0.854,0.0713,0.8539841468502295,0.8077082469954414,0.7906409168081494,0.8496826422408879,0.8222250157133878,0.7827148844050956
5,0.5526,0.7942,0.8455,0.7866,0.8539,0.0673,0.8506466416353775,0.8066031219781737,0.7937181663837012,0.8538634031393714,0.8231803896920176,0.7866004274097305
6,0.4949,0.7975,0.8463,0.7893,0.8571,0.0678,0.8485607008760951,0.8042547313164802,0.7960261035653651,0.8570559841891224,0.822828409805154,0.7892647997557658
7,0.4515,0.8,0.8467,0.791,0.8595,0.0685,0.8467876512307051,0.7977621218400331,0.7974851443123938,0.8594884268936946,0.8201131363922061,0.7909577863506425
8,0.4511,0.8075,0.8462,0.7917,0.8612,0.0695,0.8458489778890279,0.7916839342450614,0.794407894736842,0.8611607312530881,0.8144814582023885,0.793316866032028
9,0.4706,0.8033,0.8452,0.7879,0.8626,0.0747,0.848560700876095,0.7963807155684486,0.7879085314091681,0.8625669871916688,0.8083218101822752,0.7925120035524965
10,0.4646,0.8087,0.844,0.7836,0.8607,0.0771,0.8555486024196913,0.8124050283188285,0.7836109932088285,0.8607046482459807,0.8093274670018855,0.7887374760622797
11,0.4375,0.805,0.8449,0.7852,0.8589,0.0737,0.8589208733138646,0.8230418566100289,0.7866882427843802,0.8558017559195774,0.8153362664990572,0.7852127334795037
12,0.4242,0.7996,0.8451,0.7814,0.8592,0.0778,0.8591989987484355,0.8249758253902473,0.788677843803056,0.8558777697540952,0.8169453174104337,0.7813549443534734
13,0.4299,0.7967,0.8454,0.7802,0.8587,0.0785,0.8587470449172577,0.8238707003729796,0.7883595076400679,0.85606780434039,0.8174984286612195,0.7802170353306875
14,0.4357,0.7983,0.8455,0.7787,0.8587,0.08,0.8587122792379364,0.8227655753557122,0.7881738115449916,0.8556497282505416,0.8174230043997486,0.7786905720074381
15,0.4352,0.8029,0.8454,0.7782,0.8572,0.079,0.8571825893477959,0.82027904406686,0.7875636672325976,0.8559537835886131,0.8169956002514143,0.778218756071161
