round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
2,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
3,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
4,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
5,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
6,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
7,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
8,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
9,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
10,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
11,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
12,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
13,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
14,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
15,0.6705,0.715,0.662,0.552,0.6973,0.1453,0.6972604644694758,0.5520099461251554,0.5843856112054329,0.6961346965147657,0.6550597108736644,0.6260997474397048
