round,test_loss,accuracy,auc,worst_hospital_auc,best_hospital_auc,auc_equity_gap,hosp_1_auc,hosp_2_auc,hosp_3_auc,hosp_4_auc,hosp_5_auc,hosp_6_auc
1,0.4478,0.7908,0.8381,0.767,0.8573,0.0903,0.85728688638576,0.8296726067136344,0.7687287775891342,0.8442476530728592,0.8053299811439347,0.7670339429935333
2,0.5326,0.7208,0.7995,0.7199,0.8092,0.0894,0.8081629815046587,0.8092277938941843,0.7198641765704584,0.7995515183763444,0.7737774984286613,0.7444977935666509
3,0.4749,0.7533,0.8336,0.7598,0.8552,0.0954,0.855235711305799,0.8296726067136345,0.7598153650254669,0.8364562350347763,0.8021118793211817,0.7640642779828482
4,0.5289,0.7208,0.7875,0.7137,0.8177,0.104,0.79908913920178,0.8176543721508496,0.7136831494057725,0.7725666071224964,0.7736769327467002,0.7228497682551136
5,0.4838,0.7233,0.8291,0.7534,0.8518,0.0984,0.8518286747323043,0.8300870285951099,0.7534221137521223,0.8307171905286762,0.7980138277812696,0.7615941827870445
6,0.5368,0.7208,0.7815,0.7079,0.8054,0.0975,0.7858434153803365,0.8053598563337477,0.7078735144312395,0.7632169054767968,0.7727718416090508,0.7231550609197636
7,0.4926,0.7208,0.8246,0.7485,0.8442,0.0958,0.8442497566402448,0.8334024036469125,0.7484613752122241,0.8247881114362814,0.7930106851037082,0.7596236574061226
8,0.5428,0.7208,0.7783,0.7009,0.7899,0.0889,0.7797941871784175,0.7898881060920017,0.7009497028862478,0.7627228155524305,0.7691011942174732,0.7245982626071993
9,0.5038,0.7208,0.8195,0.7414,0.8375,0.0962,0.8375052148518982,0.8300870285951097,0.7413518675721562,0.8192771084337349,0.7881081081081082,0.7568760234242734
10,0.5552,0.7208,0.7666,0.6874,0.7693,0.0819,0.7617507996106244,0.769305152645393,0.6873938879456707,0.7463798411310859,0.7602262727844122,0.7179650856207155
11,0.5196,0.7208,0.8129,0.7335,0.8267,0.0932,0.826693088582951,0.8251139660174057,0.7334730475382003,0.812207821823572,0.7821495914519172,0.7535733118703336
12,0.5628,0.7208,0.7672,0.6864,0.7694,0.083,0.7661660408844388,0.7694432932725515,0.686412351443124,0.7493443806772833,0.7617096165933377,0.7206294579667507
13,0.5383,0.7208,0.8043,0.7248,0.8171,0.0923,0.8133083020442219,0.8171018096422158,0.7248249151103565,0.8012238227357379,0.7752608422375864,0.7485776137215174
14,0.5735,0.7208,0.7612,0.6826,0.7642,0.0815,0.7545543039911,0.7641939494405304,0.6826453735144312,0.7447455436889514,0.7555499685732245,0.7150231744886348
15,0.5542,0.7208,0.7971,0.7165,0.8099,0.0934,0.8023223473786678,0.8099184970299765,0.7165216468590833,0.793432404697655,0.7699560025141421,0.745552440953623
